"time","geo_value","geo_type","covid"
2019-08-31,"Central","OH Region",NA
2019-08-31,"East","OH Region",NA
2019-08-31,"North East","OH Region",NA
2019-08-31,"North West","OH Region",NA
2019-08-31,"Ontario","Province",NA
2019-08-31,"Toronto","OH Region",NA
2019-08-31,"West","OH Region",NA
2019-09-07,"Central","OH Region",NA
2019-09-07,"East","OH Region",NA
2019-09-07,"North East","OH Region",NA
2019-09-07,"North West","OH Region",NA
2019-09-07,"Ontario","Province",NA
2019-09-07,"Toronto","OH Region",NA
2019-09-07,"West","OH Region",NA
2019-09-14,"Central","OH Region",NA
2019-09-14,"East","OH Region",NA
2019-09-14,"North East","OH Region",NA
2019-09-14,"North West","OH Region",NA
2019-09-14,"Ontario","Province",NA
2019-09-14,"Toronto","OH Region",NA
2019-09-14,"West","OH Region",NA
2019-09-21,"Central","OH Region",NA
2019-09-21,"East","OH Region",NA
2019-09-21,"North East","OH Region",NA
2019-09-21,"North West","OH Region",NA
2019-09-21,"Ontario","Province",NA
2019-09-21,"Toronto","OH Region",NA
2019-09-21,"West","OH Region",NA
2019-09-28,"Central","OH Region",NA
2019-09-28,"East","OH Region",NA
2019-09-28,"North East","OH Region",NA
2019-09-28,"North West","OH Region",NA
2019-09-28,"Ontario","Province",NA
2019-09-28,"Toronto","OH Region",NA
2019-09-28,"West","OH Region",NA
2019-10-05,"Central","OH Region",NA
2019-10-05,"East","OH Region",NA
2019-10-05,"North East","OH Region",NA
2019-10-05,"North West","OH Region",NA
2019-10-05,"Ontario","Province",NA
2019-10-05,"Toronto","OH Region",NA
2019-10-05,"West","OH Region",NA
2019-10-12,"Central","OH Region",NA
2019-10-12,"East","OH Region",NA
2019-10-12,"North East","OH Region",NA
2019-10-12,"North West","OH Region",NA
2019-10-12,"Ontario","Province",NA
2019-10-12,"Toronto","OH Region",NA
2019-10-12,"West","OH Region",NA
2019-10-19,"Central","OH Region",NA
2019-10-19,"East","OH Region",NA
2019-10-19,"North East","OH Region",NA
2019-10-19,"North West","OH Region",NA
2019-10-19,"Ontario","Province",NA
2019-10-19,"Toronto","OH Region",NA
2019-10-19,"West","OH Region",NA
2019-10-26,"Central","OH Region",NA
2019-10-26,"East","OH Region",NA
2019-10-26,"North East","OH Region",NA
2019-10-26,"North West","OH Region",NA
2019-10-26,"Ontario","Province",NA
2019-10-26,"Toronto","OH Region",NA
2019-10-26,"West","OH Region",NA
2019-11-02,"Central","OH Region",NA
2019-11-02,"East","OH Region",NA
2019-11-02,"North East","OH Region",NA
2019-11-02,"North West","OH Region",NA
2019-11-02,"Ontario","Province",NA
2019-11-02,"Toronto","OH Region",NA
2019-11-02,"West","OH Region",NA
2019-11-09,"Central","OH Region",NA
2019-11-09,"East","OH Region",NA
2019-11-09,"North East","OH Region",NA
2019-11-09,"North West","OH Region",NA
2019-11-09,"Ontario","Province",NA
2019-11-09,"Toronto","OH Region",NA
2019-11-09,"West","OH Region",NA
2019-11-16,"Central","OH Region",NA
2019-11-16,"East","OH Region",NA
2019-11-16,"North East","OH Region",NA
2019-11-16,"North West","OH Region",NA
2019-11-16,"Ontario","Province",NA
2019-11-16,"Toronto","OH Region",NA
2019-11-16,"West","OH Region",NA
2019-11-23,"Central","OH Region",NA
2019-11-23,"East","OH Region",NA
2019-11-23,"North East","OH Region",NA
2019-11-23,"North West","OH Region",NA
